name,title,dataset_id,backends,tags,metrics,subsets,description
ARC_c,,opencompass/ai2_arc-dev,OpenCompass,,,,
ARC_e,,opencompass/ai2_arc-easy-dev,OpenCompass,,,,
AX_b,,./data/SuperGLUE/AX-b/AX-b.jsonl,OpenCompass,,,,
AX_g,,./data/SuperGLUE/AX-g/AX-g.jsonl,OpenCompass,,,,
BoolQ,,opencompass/boolq,OpenCompass,,,,
C3,,./data/CLUE/C3/dev_0.json,OpenCompass,,,,
CB,,./data/SuperGLUE/CB/val.jsonl,OpenCompass,,,,
CMRC,,opencompass/cmrc_dev,OpenCompass,,,,
COPA,,./data/SuperGLUE/COPA/val.jsonl,OpenCompass,,,,
DRCD,,opencompass/drcd_dev,OpenCompass,,,,
GaokaoBench,,opencompass/GAOKAO-BENCH,OpenCompass,,,,
MultiRC,,./data/SuperGLUE/MultiRC/val.jsonl,OpenCompass,,,,
PMMEval,,P-MMEval,OpenCompass,,,,
RTE,,./data/SuperGLUE/RTE/val.jsonl,OpenCompass,,,,
ReCoRD,,./data/SuperGLUE/ReCoRD/val.jsonl,OpenCompass,,,,
WSC,,./data/SuperGLUE/WSC/val.jsonl,OpenCompass,,,,
WiC,,./data/SuperGLUE/WiC/val.jsonl,OpenCompass,,,,
Xsum,,opencompass/xsum,OpenCompass,,,,
a_okvqa,A-OKVQA,HuggingFaceM4/A-OKVQA,EvalScope,Knowledge|MCQ|MultiModal,acc,default,"A-OKVQA is a benchmark designed to probe commonsense reasoning and outside knowledge in visual question answering. Unlike basic VQA tasks that rely solely on the image content, A-OKVQA requires models to utilize a broad spectrum of commonsense and factual knowledge about the world to answer its questions. It includes both multiple-choice and open-ended questions, making it a particularly challenging test for assessing the reasoning capabilities of AI systems."
aa_lcr,AA-LCR,evalscope/AA-LCR,EvalScope,Knowledge|Reasoning|LongContext,acc,default,AA-LCR (Artificial Analysis Long Context Retrieval) is a benchmark for evaluating long-context retrieval and reasoning capabilities of language models across multiple documents.
afqmc,,opencompass/afqmc-dev,OpenCompass,,,,
agieval,,opencompass/agieval,OpenCompass,,,,
ai2d,AI2D,lmms-lab/ai2d,EvalScope,MultiModal|Knowledge|QA,acc,default,"AI2D is a benchmark dataset for researching the understanding of diagrams by AI. It contains over 5,000 diverse diagrams from science textbooks (e.g., the water cycle, food webs). Each diagram is accompanied by multiple-choice questions that test an AI's ability to interpret visual elements, text labels, and their relationships. The benchmark is challenging because it requires jointly understanding the layout, symbols, and text to answer questions correctly."
aime24,AIME-2024,HuggingFaceH4/aime_2024,EvalScope,Math|Reasoning,acc,default,"The AIME 2024 benchmark is based on problems from the American Invitational Mathematics Examination, a prestigious high school mathematics competition. This benchmark tests a model's ability to solve challenging mathematics problems by generating step-by-step solutions and providing the correct final answer."
aime25,AIME-2025,opencompass/AIME2025,EvalScope,Math|Reasoning,acc,AIME2025-I|AIME2025-II,"The AIME 2025 benchmark is based on problems from the American Invitational Mathematics Examination, a prestigious high school mathematics competition. This benchmark tests a model's ability to solve challenging mathematics problems by generating step-by-step solutions and providing the correct final answer."
alpaca_eval,AlpacaEval2.0,AI-ModelScope/alpaca_eval,EvalScope,InstructionFollowing|Arena,winrate,alpaca_eval_gpt4_baseline,"Alpaca Eval 2.0 is an enhanced framework for evaluating instruction-following language models, featuring an improved auto-annotator, updated baselines, and continuous preference calculation to provide more accurate and cost-effective model assessments. Currently not support `length-controlled winrate`; the official Judge model is `gpt-4-1106-preview`, while the baseline model is `gpt-4-turbo`."
amc,AMC,evalscope/amc_22-24,EvalScope,Math|Reasoning,acc,amc22|amc23|amc24,AMC (American Mathematics Competitions) is a series of mathematics competitions for high school students.
anat_em,AnatEM,extraordinarylab/anat-em,EvalScope,Knowledge|NER,precision|recall|f1_score|accuracy,default,"The AnatEM corpus is an extensive resource for anatomical entity recognition, created by extending and combining previous corpora to include over 13,000 annotations across 1212 biomedical documents."
