name,prompt,negative_prompt
3D Character,"3D toy, standing character, tiny, cute, soft lighting, pastel colors, skottie young, blender, pop surrealism, pbr",
Adorable,"Cute and adorable cartoon, fantasy, dreamlike, surrealism, super cute, trending on artstation",ugly
AI推文,"((masterpiece),(Highest picture quality),(Master's work),(8K wallpaper),(ray tracing),Depth of field,finely detail,best quality, high resolution illustration,Cinematic Lighting),","EasyNegative, ng_deepnegative, (low_quality:1.4), (worst_quality:1.4), (badhand:1.1),collage, artist_name, signature, artist_logo, watermark,(worst quality:2),(low quality:2),(normal quality:2),lowres,normal quality,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,(ugly:1.331),(duplicate:1.331),(morbid:1.21),(tranny:1.331),mutated hands,(poorly drawn hands:1.5),blurry,(bad anatomy:1.21),(bad proportions:1.331),extra limbs,(disfigured:1.331),(missing arms:1.331),(extra legs:1.331),(fused fingers:1.61051),(too many fingers:1.61051),(unclear eyes:1.331),lowers,bad hands,missing fingers,extra digit,bad  hands,missing fingers,(((extra arms and legs))),(EasyNegative:0.8),(badhand:0.8),nfsw,sketches, (worst quality:2), (low quality:2),lowres, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, ,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,"
Anime Portrait,"portrait of an anime person, aesthetic, wlop, trending on artstation, deviantart, anime key visual, 8k uhd",
Architectural Photography Style: Historical,"historical capture of {prompt}. 24mm lens, f/8, capture architectural details, natural lighting","distorted perspective, underexposed, overprocessed, unsharp, oversaturated"
Architectural Photography Style: Modernist,"modernist view of {prompt}. 18mm lens, f/4, minimalistic, strong lines","barrel distortion, overexposed, blurry, poor composition, flat colors"
Architectural Photography Style: Surreal,"surreal perspective of {prompt}. Fisheye lens, f/2.8, abstract interpretation, vibrant colors","unfocused, poor lighting, underexposed, overprocessed, distracting elements"
ArchViz,"by James McDonald and Joarc Architects, home, interior, octane render, deviantart, cinematic, key art, hyperrealism, sun light, sunrays, canon eos c 300, ƒ 1.8, 35 mm, 8k",
Beautiful Portrait,"alluring portrait, intricate, highly detailed, digital painting, artstation, concept art, naughty, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",
Building,"shot 35 mm, realism, octane render, 8k, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo-realistic maximum detail, volumetric light, realistic matte painting, hyper photorealistic, trending on artstation, ultra-detailed, realis",
Caricature,"Cartoon caricature realistic, cute as a pixar disney character caricature cute full body from up 2009 unreal engine octane render 3d render photorealistic",
CGI Character,"portrait of a CGI animation character, magical background, bright natural lighing, backlighting, professional studio quality, looking at camera, large round cute detailed eyes, detailed, cute, adorable, intricately detailed, fantasy art, digital painting","Blurry, Blur, Grainy, Oversaturated, Tiling, Draft, Out of frame, Out of Focus, Cut off, Cropped image, Text, Signature, Watermark, Low quality, Bad quality, Low res, Plastic, Ugly, Bad anatomy, Deformed, Disfigured, Two heads, Two faces, Long neck"
Comic Art,"Retro style artwork, comic book art, high details, comic book cover, symmetrical, vibrant colors",
Control Room,"steampunk happy Funny cartoonish at a complex nuclear control room, by Gediminas Pranckevicius H 704, machinarium style, intricate",
CounterFeit模型专用,"masterpiece, best quality",EasyNegative
Cute Creature,"cute cute cute creature, an illustration by esao andrews, cyril rolando and goro fujita, deviantart, fantasy art, storybook illustration, oil on canvas",
Cute Kawaii,"cute, tiny, little chibi, kawai, furry, great face expression, dynamic pose, trending on artstation, cinematic, hyper realism, high detail, 8k, 8mm, octane render, bokeh, artstation, detailed, character design by mark ryden and pixar",
CyberPunk,"cyberpunk, in heavy raining futuristic tokyo rooftop cyberpunk night, sci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration,",
Dark,"Style of stephen gammell, watercolors, black and white, swamp, shadowy creatures, dripping, infected",
Dataviz,"polygonal, hologram,orthographic projection lines,axis, blueprint, dataviz, infographic,tron, minority report interface,vaporwave, synthwave",
Digital Art,"intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, charlie bowater and alexandra fomina",
Digital Portrait,"digital painting portrait, natural lighting, in the style of pixar, trending on artstation, sharp, focus art by Arthur Streeton and Božidar Jakac",
Dramatic,"Wide angle, chaotic cabin in background. vibrant, photorealistic, realistic, dramatic, dark, sharp focus, 8k.",
Drawing,"drawing made by Yoji Shinkawa, highly detailed, trending on Artstation, concept art",
Editorial Photography Style: Investigative,"investigative shot of {prompt}. 24mm lens, f/4, informative, intriguing","blurry, underexposed, distorted perspective, high ISO noise, distracting elements"
Editorial Photography Style: Lifestyle,"lifestyle capture of {prompt}. 50mm lens, f/2.8, candid, vibrant colors","poor lighting, overprocessed, distracting background, motion blur, unsteady shot"
Editorial Photography Style: Opinion,"opinion image of {prompt}. 35mm lens, f/5.6, emotive, storytelling","poor focus, underexposed, cluttered composition, overexposed highlights, distorted colors"
Fashion,"photograph of a Fashion model, full body, highly detailed and intricate, golden ratio, vibrant colors, hyper maximalist, futuristic, city background, luxury, elite, cinematic, fashion, depth of field, colorful, glow, trending on artstation, ultra high d",
Fashion Photography Style: Catalog,"catalog shot of {prompt}. 70mm lens, f/5.6, neutral background, clear focus on attire","poor lighting, unflattering angles, distorted perspective, underexposed, oversaturated"
Fashion Photography Style: Editorial,"editorial fashion shot of {prompt}. 50mm lens, f/2.5, storytelling, focused on outfit","unflattering pose, poor lighting, blurry, distracting elements, overexposed"
Fashion Photography Style: Haute Couture,"haute couture display of {prompt}. 85mm lens, f/2.2, vibrant colors, dramatic lighting","flat lighting, out of focus, distracting background, overprocessed, oversaturated"
Figurine,"plastic funky pop figurine, product, studio shot, plain background, diffused lighting, centered",
Horror,"dark  themed background. very dark and scary horror vibes. hyper intricate details. purple, red, white colors. hyperrealistic artwork style. scary horror metal music vibe. godrays, gorgeous, amazing, intricate, highly detailed, digital painting, artstatio",
Illustration,"illustration, fisheye lens, high contrast, highly detailed, sharp focus, digital painting, 3 d art, illustration, trending on artstation",
Isometric,"Detailed isometric render, unreal engine voxel render, video game, very cozy, nostalgia, c4d render, ultra detailed, octane render, volumetric lighting, 8k post-production isometric, isometric render, tiltshift",
Logo,"2d vector illustration, emblem logo, 2d flat, centered, illustrator, symetrical, victory, 2D team logo, company logo design",
Low Poly,"Low poly character, 3d isometric render, plain background, unity, kawaii, cute, blender, polycount",
NAiDefault,"masterpiece, best quality","text, lowres, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad anatomy, bad hands, error, missing fingers, extra digit, fewer digits, missing arms, long neck, Humpbacked"
Needle Felted,"3D Felt fiber toy, made from Felt fibers, Tiny 3D render, trending on cgsociety, maya, octane render, made of yarn, Cute",
Nightmare,"nightmare by tim burton, monster dreams, v-ray octane, highly detailed by artgem, art, trending artstation, blender, vivid color, steampunk, messi, cinematic light, alexa, ultra primme",
Oil Painting,"oil painting from studio ghibli film, by noriyuki morimoto, digital artist, bright and bold colors, expansive sky, sense of adventure, epic scope studio ghibli",
Origami,"origami style, paper sticker, studio lighting, plain background, pastel colors, papercraft",
Pencil Sketch,"Hyperrealist pencil sketch drawing, black and white painting, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed, 4k, da vinci style made with a charcoal pencil",
Photograph,"high quality photography, 3 point lighting, flash with softbox, 4k, Canon EOS R3, hdr, smooth, sharp focus, high resolution, award winning photo, 80mm, f2.8, bokeh",
Photojournalism Style: Candid,"candid shot of {prompt}. 50mm lens, f/2.8, spontaneous, unposed","poor lighting, motion blur, out of focus, distracting background, overprocessed"
Photojournalism Style: Documentary,"documentary style of {prompt}. 35mm lens, f/5.6, truthful representation, neutral perspective","overexposed, underexposed, oversaturated, motion blur, unsteady shot"
Photojournalism Style: Reportage,"gripping reportage of {prompt}. Wide-angle lens, f/8, focus on action, capture the moment","blurred action, low light noise, unsteady shot, out of focus, distorted perspective"
Pixar,"animation pixar style, pendleton ward, magali villeneuve, artgerm, rob rey and kentaro miura style, golden ratio, behance, trending on art station",
Portrait Photography Style: Charismatic,"{prompt} with charisma. 50mm lens, f/2.8, focused on eyes, natural lighting","overexposed, underexposed, blurry, distorted, overprocessed"
